author	comment
@galactusisapuss	"I'm interested but I don't see how people whom have been high school drop outs can now attend Berkley. My question is say I use coursera and I get my B.A in computer science and I apply to IBM London, and the recruiter sees I've got a b.a from Harvard University. He decides to check with the dean of Harvard to make sure I've graduated from there. Is that dean or registrar office going to say ""hey, yeah he graduated from here I can see him in our program"". Or will they not have any information of me ever using there services."
@anaestereo810	Hi Richard. What ia the best fre mooc as  an introductory/ pre-mba degree?
@ajaykrishna5744	Hi I am planning to take some coding related courses...Is it worth to take it via course era or via universities
@Abdullah-iv9rt	What do you recommend, guys, taking psychology courses at Coursera or IAP Career College? I’m not sure. Can anyone help me? Because I have searched of Coursera, and it has a D- grade from the Better Business Bureau. IAP has a high grade from Better Business Bureau.
@Abdullah-iv9rt	 @RichardWalls Is IAP career college good when it comes to a formal degree?
@MorrisTambaAbu	I'm interested
@DouglasMichaelkings	Can getting a Project management certificate help me get a job? Just looking to switch career. Advise please
@annasabantseva3622	Thank you for Video!\nI need an advice, please...\nI study online in university but I while I am studying I need more experience and skills which I do not get from university. I am thinking to try to  get a course from coursera, but I am not sure if I can work with certificate from coursera? Because I didn't graduate yet, but I want to start working, can I work with that certificate? Is it possible or not ?\n If you know any good courses for event management and Marketing, I would appreciate it !! thank you 
@kadermorales3787	Hi Anna which online University are you going to? I am looking for one. But all expensive for me to afford for now. How is your online school? affordable?
@kadermorales3787	Hi Anna which online University are you going to? I am looking for one. But all expensive for me to afford for now. How is your online school? affordable?
@infernalmochi7416	Hi, just a quick question. \nFor ANY free course they offer, you can get a paid certificate in the end? \nSo all of the process is free, but if you want a certificate to prove you've completed the course, you have the option to get a paid certificate?
@infernalmochi7416	 @RichardWalls  thanks a lot!♡♡
@nanasam6622	Do you get a job with Coursera certificate or not?
@rishabsaini8532	Sir, what is the minimum educational qualification to seek a course like GIS (geographic information system)?
@rishabsaini8532	 @RichardWalls Yes I have gone for it.
@maryhannah9685	I'm unable to attain a degree right now, thanks to the stupid vaccine mandates. Is coursera a good alternative?
@maryhannah9685	 @RichardWalls  thank you for the reply!
@userbestchemistintheWORLD	Мне кажется , что у вас русский акцент.For some reason I  hear russian accent in your speech
@mercedesrivera590	Cuestión si I can take more then one course for same price ?
@moexii6308	Is there tests at the end of the paid courses?
@alfredoLaliga	Do you recommend it for web development courses ?
@Rae.Jac-Knowledge	Do employers really recognize this as a true asset or skill??\n\n I'm really just wanting to upgrade my skills so I can get a better job.
@clarencehouston9943	How much can I expect to pay for certificate?
@Kojokenneth	have gotten a job from coursera from the certificats please?
@blessingmatiro9082	Which IoT courses did you take?
@blessingmatiro9082	 @RichardWalls  Thank you so much, for getting back to me Richard Walls. This is definitely a great starting point for me. I will take this course, and I see that I can enroll today. I appreciate the career development and finance mentoring you offer, it's awesome! I was particularly interested in your journey to becoming a product manager especially in the IoT space (I am working for a tech company that develops software for IoT spaces) . I aspire to be a product manager soon, and I'm working towards it. Thanks for the guidance. I have my eye on a couple of online MBAs to consider, thanks to your video on that... Brilliant!! I am grateful.\nAny thoughts regarding working towards a Product management certification? Is this worth pursuing, and could you please recommend a great certification that is recognized internationally?  Many thanks!
@deamicisfrank1308	can i do the courses even though i'm 16
@manojsharma7333	sir courses are reakky helpful for freelensing work to make money please guide me i am a 1st year student in engeniering college \nand i want to make some money by freeliencing in graphic desining
@Moodboard39	Probably
@ohsnap5141	will coursera certificates help me get into a good college?
@ayselnadirsoy1610	Hello, First of all thank you for this video. Then I ask question. Honestly I need some recommendations pls my bachelor's speciality is philology ( English and literature). Which online course is available me on coursera? Pls answer 
@Zerael071	Hi. Is that cybersecurity set of courses available with the Coursera plus?
@Zerael071	 @RichardWalls  I’ll check that out. Thank you =)
@siehsamahkargbo7209	How can i get into the coursera program
@tyanajames7815	Can I use this in a resume
@thegoat5587	Yes
@boydkalyati6192	How can I take a course  on Coursera
@markhoward3733	Can you use an IPad?
@louierockefeller9371	Do you get a certificate
@enocchgaspack1303	all of these comments seem fake.. like did google pay you or all of you guys just bots?? lol.. this made me even less confident in coursera.. cool cool
